Order ID,Date,Category,Product,Region,Salesperson,Quantity,Unit Price,Revenue,Discount,Profit
1001,2024-01-05,Electronics,Laptop Pro,North,Alice,2,1200,2400,0.05,480
1002,2024-01-07,Clothing,Winter Jacket,South,Bob,5,89,445,0.10,89
1003,2024-01-10,Electronics,Smartphone X,East,Charlie,3,699,2097,0.08,419
1004,2024-01-12,Food,Organic Tea Pack,West,Diana,20,15,300,0.00,120
1005,2024-01-15,Electronics,Wireless Earbuds,North,Alice,8,149,1192,0.10,238
1006,2024-01-18,Clothing,Running Shoes,East,Bob,4,120,480,0.05,96
1007,2024-01-22,Home,Coffee Maker,South,Charlie,6,85,510,0.00,153
1008,2024-01-25,Electronics,Tablet Mini,West,Diana,2,450,900,0.12,180
1009,2024-02-02,Food,Protein Bars Box,North,Alice,15,30,450,0.05,135
1010,2024-02-05,Clothing,Yoga Pants,South,Bob,10,60,600,0.08,120
1011,2024-02-08,Electronics,Smart Watch,East,Charlie,4,299,1196,0.10,239
1012,2024-02-12,Home,Air Purifier,West,Diana,3,200,600,0.05,120
1013,2024-02-15,Electronics,Laptop Pro,North,Alice,1,1200,1200,0.00,240
1014,2024-02-18,Food,Green Tea Set,South,Bob,12,25,300,0.00,120
1015,2024-02-22,Clothing,Denim Jacket,East,Charlie,3,150,450,0.10,90
1016,2024-02-25,Home,Robot Vacuum,West,Diana,2,350,700,0.08,140
1017,2024-03-01,Electronics,Gaming Mouse,North,Alice,10,79,790,0.05,158
1018,2024-03-05,Clothing,Sports T-Shirt,South,Bob,20,35,700,0.00,210
1019,2024-03-08,Electronics,Smartphone X,East,Charlie,5,699,3495,0.10,699
1020,2024-03-12,Food,Vitamin Bundle,West,Diana,8,45,360,0.05,108
1021,2024-03-15,Home,Stand Mixer,North,Alice,2,280,560,0.00,112
1022,2024-03-18,Electronics,Wireless Earbuds,South,Bob,12,149,1788,0.08,358
1023,2024-03-22,Clothing,Winter Jacket,East,Charlie,6,89,534,0.05,107
1024,2024-03-25,Electronics,Smart Watch,West,Diana,7,299,2093,0.10,419
1025,2024-04-02,Food,Organic Tea Pack,North,Alice,25,15,375,0.00,150
1026,2024-04-05,Home,Coffee Maker,South,Bob,8,85,680,0.05,136
1027,2024-04-08,Electronics,Tablet Mini,East,Charlie,3,450,1350,0.08,270
1028,2024-04-12,Clothing,Running Shoes,West,Diana,7,120,840,0.10,168
1029,2024-04-15,Electronics,Laptop Pro,North,Alice,3,1200,3600,0.05,720
1030,2024-04-18,Food,Protein Bars Box,South,Bob,20,30,600,0.00,180
1031,2024-04-22,Electronics,Gaming Mouse,East,Charlie,15,79,1185,0.08,237
1032,2024-04-25,Home,Air Purifier,West,Diana,4,200,800,0.05,160
1033,2024-05-02,Clothing,Yoga Pants,North,Alice,14,60,840,0.10,168
1034,2024-05-05,Electronics,Smartphone X,South,Bob,4,699,2796,0.08,559
1035,2024-05-08,Home,Robot Vacuum,East,Charlie,3,350,1050,0.05,210
1036,2024-05-12,Food,Green Tea Set,West,Diana,18,25,450,0.00,180
1037,2024-05-15,Electronics,Wireless Earbuds,North,Alice,10,149,1490,0.10,298
1038,2024-05-18,Clothing,Denim Jacket,South,Bob,5,150,750,0.05,150
1039,2024-05-22,Electronics,Smart Watch,East,Charlie,6,299,1794,0.08,359
1040,2024-05-25,Home,Stand Mixer,West,Diana,3,280,840,0.00,168
1041,2024-06-02,Electronics,Laptop Pro,North,Alice,2,1200,2400,0.10,480
1042,2024-06-05,Food,Vitamin Bundle,South,Bob,12,45,540,0.05,162
1043,2024-06-08,Clothing,Sports T-Shirt,East,Charlie,25,35,875,0.00,263
1044,2024-06-12,Electronics,Gaming Mouse,West,Diana,8,79,632,0.08,126
1045,2024-06-15,Home,Coffee Maker,North,Alice,5,85,425,0.05,85
1046,2024-06-18,Electronics,Tablet Mini,South,Bob,4,450,1800,0.10,360
1047,2024-06-22,Clothing,Winter Jacket,East,Charlie,8,89,712,0.05,142
1048,2024-06-25,Food,Organic Tea Pack,West,Diana,30,15,450,0.00,180
